#≠VALOR!;;;;;#≠VALOR!;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Codificaci¢n de la Divisi¢n Pol°tico Administrativa de Colombia - DIVIPOLA junio 2025;;;;;;;
;;;;;;;
Municipios;;;;;;;
;;;;;;;
Departamento;;Municipio;;Tipo;Localizaci¢n;;
C¢digo;Nombre; C¢digo ; Nombre ;"Municipio
Isla
?rea no municipalizada";Longitud;Latitud;
05;ANTIOQUIA;05001;MEDELL?N;Municipio;-75,581775;6,246631;
05;ANTIOQUIA;05002;ABEJORRAL;Municipio;-75,428739;5,789315;
05;ANTIOQUIA;05004;ABRIAQU?;Municipio;-76,064304;6,632282;
05;ANTIOQUIA;05021;ALEJANDR?A;Municipio;-75,141346;6,376061;
05;ANTIOQUIA;05030;AMAG?;Municipio;-75,702188;6,038708;
05;ANTIOQUIA;05031;AMALFI;Municipio;-75,077501;6,909655;
05;ANTIOQUIA;05034;ANDES;Municipio;-75,878828;5,657194;
05;ANTIOQUIA;05036;ANGEL?POLIS;Municipio;-75,711389;6,109719;
05;ANTIOQUIA;05038;ANGOSTURA;Municipio;-75,335116;6,885175;
05;ANTIOQUIA;05040;ANOR?;Municipio;-75,148355;7,074703;
05;ANTIOQUIA;05042;SANTA Fê DE ANTIOQUIA;Municipio;-75,826648;6,556484;
05;ANTIOQUIA;05044;ANZ?;Municipio;-75,854442;6,302641;
05;ANTIOQUIA;05045;APARTAD?;Municipio;-76,625279;7,882968;
05;ANTIOQUIA;05051;ARBOLETES;Municipio;-76,426708;8,849317;
05;ANTIOQUIA;05055;ARGELIA;Municipio;-75,14107;5,731474;
05;ANTIOQUIA;05059;ARMENIA;Municipio;-75,786647;6,155667;
05;ANTIOQUIA;05079;BARBOSA;Municipio;-75,331627;6,439195;
05;ANTIOQUIA;05086;BELMIRA;Municipio;-75,667779;6,606319;
05;ANTIOQUIA;05088;BELLO;Municipio;-75,555245;6,333587;
05;ANTIOQUIA;05091;BETANIA;Municipio;-75,97679;5,74615;
05;ANTIOQUIA;05093;BETULIA;Municipio;-75,984452;6,115208;
05;ANTIOQUIA;05101;CIUDAD BOL?VAR;Municipio;-76,021509;5,850273;
05;ANTIOQUIA;05107;BRICE•O;Municipio;-75,55036;7,112803;
05;ANTIOQUIA;05113;BURITIC?;Municipio;-75,907;6,720759;
05;ANTIOQUIA;05120;C?CERES;Municipio;-75,35205;7,578366;
05;ANTIOQUIA;05125;CAICEDO;Municipio;-75,98293;6,405607;
05;ANTIOQUIA;05129;CALDAS;Municipio;-75,633673;6,091077;
05;ANTIOQUIA;05134;CAMPAMENTO;Municipio;-75,298091;6,979771;
05;ANTIOQUIA;05138;CA•ASGORDAS;Municipio;-76,028228;6,753859;
05;ANTIOQUIA;05142;CARACOL?;Municipio;-74,757421;6,409829;
05;ANTIOQUIA;05145;CARAMANTA;Municipio;-75,643868;5,54853;
05;ANTIOQUIA;05147;CAREPA;Municipio;-76,652652;7,755148;
05;ANTIOQUIA;05148;EL CARMEN DE VIBORAL;Municipio;-75,333901;6,082885;
05;ANTIOQUIA;05150;CAROLINA;Municipio;-75,283192;6,725995;
05;ANTIOQUIA;05154;CAUCASIA;Municipio;-75,197996;7,977278;
05;ANTIOQUIA;05172;CHIGOROD?;Municipio;-76,681531;7,666147;
05;ANTIOQUIA;05190;CISNEROS;Municipio;-75,087047;6,537829;
05;ANTIOQUIA;05197;COCORN?;Municipio;-75,185483;6,058295;
05;ANTIOQUIA;05206;CONCEPCI?N;Municipio;-75,257587;6,394348;
05;ANTIOQUIA;05209;CONCORDIA;Municipio;-75,908448;6,045738;
05;ANTIOQUIA;05212;COPACABANA;Municipio;-75,509384;6,348557;
05;ANTIOQUIA;05234;DABEIBA;Municipio;-76,261614;6,998112;
05;ANTIOQUIA;05237;DONMAT?AS;Municipio;-75,39263;6,485603;
05;ANTIOQUIA;05240;EBêJICO;Municipio;-75,766413;6,325615;
05;ANTIOQUIA;05250;EL BAGRE;Municipio;-74,799097;7,5975;
05;ANTIOQUIA;05264;ENTRERR?OS;Municipio;-75,517685;6,566273;
05;ANTIOQUIA;05266;ENVIGADO;Municipio;-75,582192;6,166695;
05;ANTIOQUIA;05282;FREDONIA;Municipio;-75,675072;5,928039;
05;ANTIOQUIA;05284;FRONTINO;Municipio;-76,130765;6,776066;
05;ANTIOQUIA;05306;GIRALDO;Municipio;-75,952158;6,680808;
05;ANTIOQUIA;05308;GIRARDOTA;Municipio;-75,444238;6,379472;
05;ANTIOQUIA;05310;G?MEZ PLATA;Municipio;-75,220018;6,683269;
05;ANTIOQUIA;05313;GRANADA;Municipio;-75,184446;6,142892;
05;ANTIOQUIA;05315;GUADALUPE;Municipio;-75,239862;6,815069;
05;ANTIOQUIA;05318;GUARNE;Municipio;-75,441612;6,27787;
05;ANTIOQUIA;05321;GUATAPê;Municipio;-75,160041;6,232461;
05;ANTIOQUIA;05347;HELICONIA;Municipio;-75,734322;6,206757;
05;ANTIOQUIA;05353;HISPANIA;Municipio;-75,906587;5,799461;
05;ANTIOQUIA;05360;ITAGö?;Municipio;-75,612056;6,175079;
05;ANTIOQUIA;05361;ITUANGO;Municipio;-75,764673;7,171629;
05;ANTIOQUIA;05364;JARD?N;Municipio;-75,818982;5,597542;
05;ANTIOQUIA;05368;JERIC?;Municipio;-75,785499;5,789748;
05;ANTIOQUIA;05376;LA CEJA;Municipio;-75,429433;6,028062;
05;ANTIOQUIA;05380;LA ESTRELLA;Municipio;-75,637708;6,145238;
05;ANTIOQUIA;05390;LA PINTADA;Municipio;-75,60781;5,743808;
05;ANTIOQUIA;05400;LA UNI?N;Municipio;-75,360874;5,973845;
05;ANTIOQUIA;05411;LIBORINA;Municipio;-75,812838;6,677316;
05;ANTIOQUIA;05425;MACEO;Municipio;-74,78716;6,552116;
05;ANTIOQUIA;05440;MARINILLA;Municipio;-75,339345;6,173995;
05;ANTIOQUIA;05467;MONTEBELLO;Municipio;-75,523455;5,946313;
05;ANTIOQUIA;05475;MURIND?;Municipio;-76,817485;6,97771;
05;ANTIOQUIA;05480;MUTAT?;Municipio;-76,435875;7,242875;
05;ANTIOQUIA;05483;NARI•O;Municipio;-75,176262;5,610777;
